prompt,raw_data
"hulk, marvel, artwork by nicholas roerich,","{""image_uri"": ""PENDING"", ""modifiers"": [""hulk"", ""marvel"", ""artwork"", ""nicholas roerich""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 367166505, ""width"": 512, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005596415755554866/1007434707899789372/hulk_marvel_artwork_by_nicholas_roerich_-H_768_-n_9_-i_-S_367166505_ts-1660261546_idx-8.png"", ""timestamp"": 1660261546, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"fantasy cat, high detail, digital art, beautiful , concept art,fantasy art, 4k","{""image_uri"": ""PENDING"", ""modifiers"": [""fantasy cat"", ""high detail"", ""digital art"", ""beautiful"", ""concept art"", ""fantasy art"", ""4k""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 243399704, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005596318267363488/1006998115020193854/fantasy_cat_high_detail_digital_art_beautiful__concept_artfantasy_art_4k_-n_9_-i_-s_150_-S_243399704_ts-1660157455_idx-4.png"", ""timestamp"": 1660157455, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
carly shay from icarly (2010) meets joe biden,"{""image_uri"": ""PENDING"", ""modifiers"": [""carly shay"", ""icarly 2010 meets joe biden""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3992247302, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005512133070557194/1006080134828269610/carly_shay_from_icarly_2010_meets_joe_biden_-n_5_-i_-S_3992247302_ts-1659938595_idx-1.png"", ""timestamp"": 1659938595, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 5}}"
"portrait photo of Obama finding a giant red mushroom, exhilarated, portrait, closeup. mouth open, 30mm, bokeh","{""image_uri"": ""PENDING"", ""modifiers"": [""portrait photo"", ""obama finding"", ""giant red mushroom"", ""exhilarated"", ""portrait"", ""closeup mouth open"", ""30 mm"", ""bokeh""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2158296560, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627781566185532/1006851144708018176/portrait_photo_of_Obama_finding_a_giant_red_mushroom_exhilarated_portrait_closeup._mouth_open_30mm_bokeh_-n_8_-i_-S_2158296560_ts-1660122418_idx-4.png"", ""timestamp"": 1660122418, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 8}}"
"portrait of an anime girl in white and golden clothes , digital painting , artstation , gorgeous , cute , beautiful , elegant , devian art , 4k , HD","{""image_uri"": ""PENDING"", ""modifiers"": [""portrait"", ""anime girl"", ""white"", ""golden clothes"", ""digital painting"", ""artstation"", ""gorgeous"", ""cute"", ""beautiful"", ""elegant"", ""devian art"", ""4k"", ""hd""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1576292079, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626867501502535/1006457040866123826/portrait_of_an_anime_girl_in_white_and_golden_clothes__digital_painting__artstation__gorgeous__cute__beautiful__elegant__devian_art__4k__H_-n_9_-i_-s_150_-S_1576292079_ts-1660028456_idx-4.png"", ""timestamp"": 1660028456, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
a future worth fighting for,"{""image_uri"": ""PENDING"", ""modifiers"": [""future worth fighting""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1529950263, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005543938293244006/1008087593042313217/a_future_worth_fighting_for_-n_9_-i_-s_150_-S_1529950263_ts-1660417210_idx-4.png"", ""timestamp"": 1660417210, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"girl with super long hair, hair becoming autumn red leaves, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, unreal engine 5, 8 k, art by artgerm and greg rutkowski and alphonse mucha","{""image_uri"": ""PENDING"", ""modifiers"": [""girl"", ""super long hair"", ""hair"", ""autumn red leaves"", ""intricate"", ""highly detailed"", ""digital painting"", ""artstation"", ""concept art"", ""smooth"", ""sharp focus"", ""illustration"", ""unreal engine 5"", ""8 k"", ""art"", ""artgerm"", ""greg rutkowski"", ""alphonse mucha""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 4037916399, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 9.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005505629126918246/1007859551703408680/girl_with_super_long_hair_hair_becoming_autumn_red_leaves_intricate_highly_detailed_digital_painting_artstation_concept_art_s_-C_9.0_-n_9_-i_-A_plms_-s_150_-S_4037916399_ts-1660362841_idx-0.png"", ""timestamp"": 1660362841, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"Automotive design art, digital art, marker art, Frank Stephenson, gordon murray, trending on Behance, trending on artstation, trending on deviantart, trending on dezeen,","{""image_uri"": ""PENDING"", ""modifiers"": [""automotive design art"", ""digital art"", ""marker art"", ""frank stephenson"", ""gordon murray"", ""trending"", ""behance"", ""trending"", ""artstation"", ""trending"", ""deviantart"", ""trending"", ""dezeen""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3043863147, ""width"": 768, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005512133070557194/1006821287534014494/Automotive_design_art_digital_art_marker_art_Frank_Stephenson_gordon_murray_trending_on_Behance_trending_on_artstation_trending_on_deviantar_-W_768_-n_9_-i_-S_3043863147_ts-1660115298_idx-2.png"", ""timestamp"": 1660115298, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"scifi art by greg rutkowski, a very tall, and slender man, activating the ship's self - destruct sequence, claustrophobic and futuristic environment, detailed and intricate environment, high technology, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq.","{""image_uri"": ""PENDING"", ""modifiers"": [""scifi art"", ""greg rutkowski"", ""tall"", ""slender man"", ""activating"", ""ship"", ""self destruct sequence"", ""claustrophobic"", ""futuristic environment"", ""detailed"", ""intricate environment"", ""high technology"", ""highly detailed portrait"", ""digital painting"", ""artstation"", ""concept art"", ""smooth"", ""sharp foccus ilustration"", ""artstation hq""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3565146235, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626075667247205/1008051540398985256/scifi_art_by_greg_rutkowski_a_very_tall_and_slender_man_activating_the_ships_self_-_destruct_sequence_claustrophobic_and_futuristic_environment_deta_-n_9_-i_-S_3565146235_ts-1660408615_idx-1.png"", ""timestamp"": 1660408615, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"evil cyberpunk inspired avant-garde art, deco fashion, highly detailed, photorealistic portrait, bright studio setting, studio lighting, crisp quality and light reflections, unreal engine 5 quality render","{""image_uri"": ""PENDING"", ""modifiers"": [""evil cyberpunk inspired avant garde art"", ""deco fashion"", ""highly detailed"", ""photorealistic portrait"", ""bright studio setting"", ""studio lighting"", ""crisp quality"", ""light reflections"", ""unreal engine 5 quality render""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2390288030, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 1, ""num_step"": 50, ""cfg_scale"": 9.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627952261775390/1006868873603198976/evil_cyberpunk_inspired_avant-garde_art_deco_fashion_highly_detailed_photorealistic_portrait_bright_studio_setting_studio_lighting_crisp_qual_-C_9.0_-n_9_-i_-S_2390288030_ts-1660126643_idx-2.png"", ""timestamp"": 1660126643, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"skinny nerdy poindexter white kid with glasses playing computer games by Stanley Artgerm Lau, greg rutkowski, thomas kindkade, alphonse mucha, loish, norman Rockwel","{""image_uri"": ""PENDING"", ""modifiers"": [""skinny nerdy poindexter white kid"", ""glasses playing computer games"", ""stanley artgerm lau"", ""greg rutkowski"", ""thomas kindkade"", ""alphonse mucha"", ""loish"", ""norman rockwel""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3918533052, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627952261775390/1006361727383912528/skinny_nerdy_poindexter_white_kid_with_glasses_playing_computer_games_by_Stanley_Artgerm_Lau_greg_rutkowski_thomas_kindkade_alphonse_mucha_loish_norm_-n_9_-i_-S_3918533052_ts-1660005732_idx-4.png"", ""timestamp"": 1660005732, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"a city made entirely out of Rubik\'s cubes, daylight, sunlight, lens flare, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, 8k, photorealistic, 25mm f/1.7 ASPH Lens, ultra realistic steampunk illustration, art by greg rutkowski and alphonse mucha","{""image_uri"": ""PENDING"", ""modifiers"": [""city"", ""entirely"", ""rubik\\"", ""cubes"", ""daylight"", ""sunlight"", ""lens flare"", ""highly detailed"", ""digital painting"", ""artstation"", ""concept art"", ""smooth"", ""sharp focus"", ""8k"", ""photorealistic"", ""25 mm f 1 7 asph lens"", ""ultra realistic steampunk illustration"", ""art"", ""greg rutkowski"", ""alphonse mucha""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3032491876, ""width"": 1280, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627432738500669/1005830404563030046/a_city_made_entirely_out_of_Rubiks_cubes_daylight_sunlight_lens_flare_highly_detailed_digital_painting_artstation_concept_art_smooth_sh_-W_1280_-n_9_-i_-S_3032491876_ts-1659879050_idx-2.png"", ""timestamp"": 1659879050, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
A Landscape by Charles Addams and salvador dali,"{""image_uri"": ""https://ebqbfajuswvewkfwuxzs.supabase.co/storage/v1/object/public/dev.generations/scraped/8284e8ae-ff1c-4cb2-8425-8f92c132200c.png"", ""modifiers"": [""landscape"", ""charles addams"", ""salvador dali""], ""thumbnail_uri"": ""https://ebqbfajuswvewkfwuxzs.supabase.co/storage/v1/object/public/dev.generations/scraped/8284e8ae-ff1c-4cb2-8425-8f92c132200c_thumbnail.webp"", ""raw_discord_data"": {""width"": 512, ""height"": 512, ""content"": ""Dreamt in `43.21s` for `!dream \""A Landscape by Charles Addams and salvador dali\"" -n 9 -i -S 3247097371` The seeds for each individual image are: [3247097371, 1408724095, 3797110015, 4148068351, 3619152383, 3697100799, 500116927, 1096365951, 118551863]"", ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627131230949456/1006007496462307398/A_Landscape_by_Charles_Addams_and_salvador_dali_-n_9_-i_-S_3247097371_ts-1659921277_idx-2.png"", ""content_type"": ""image/png"", ""image_proxy_uri"": ""https://media.discordapp.net/attachments/1005627131230949456/1006007496462307398/A_Landscape_by_Charles_Addams_and_salvador_dali_-n_9_-i_-S_3247097371_ts-1659921277_idx-2.png""}}"
"spiderman spider verse, screenshot, concept art, trending on artstation, by alberto mielgo","{""image_uri"": ""PENDING"", ""modifiers"": [""spiderman spider verse"", ""screenshot"", ""concept art"", ""trending"", ""artstation"", ""alberto mielgo""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1903921747, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627781566185532/1008321811458560050/spiderman_spider_verse_screenshot_concept_art_trending_on_artstation_by_alberto_mielgo_-n_9_-i_-s_150_-S_1903921747_ts-1660473053_idx-0.png"", ""timestamp"": 1660473053, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
film still. screenshot. macro shot. newspaper headline. close up. extremely detailed. directed by christopher nolan and denis villeneuve. 4 k.,"{""image_uri"": ""PENDING"", ""modifiers"": [""film"", ""screenshot macro shot newspaper headline close"", ""extremely detailed directed"", ""christopher nolan"", ""denis villeneuve 4 k""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1884547444, ""width"": 704, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 10.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005625691146047548/1007492226928083045/film_still._screenshot._macro_shot._newspaper_headline._close_up._extremely_detailed._directed_by_christopher_nolan_and_denis_villeneuve._4_-W_704_-C_10.0_-n_5_-i_-S_1884547444_ts-1660275264_idx-4.png"", ""timestamp"": 1660275264, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 5}}"
"giant shiny black spheres, crashed in the ground, cracks, gas fire in cracks, viewed from the side, hd photograph","{""image_uri"": ""PENDING"", ""modifiers"": [""giant shiny black spheres"", ""crashed"", ""ground"", ""cracks"", ""gas fire"", ""cracks"", ""viewed"", ""hd photograph""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2630384564, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626182869467157/1006212034716782692/giant_shiny_black_spheres_crashed_in_the_ground_cracks_gas_fire_in_cracks_viewed_from_the_side_hd_photograph_-n_9_-i_-S_2630384564_ts-1659970042_idx-1.png"", ""timestamp"": 1659970042, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"Jack Nicholson plays Terminator Pikachu, scene where his inner exoskeleton is visible and his eye glows red, still from the film","{""image_uri"": ""PENDING"", ""modifiers"": [""jack nicholson plays terminator pikachu"", ""scene"", ""inner exoskeleton"", ""visible"", ""eye glows red"", ""film""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 2970031809, ""width"": 768, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005626539460800604/1006710868123332638/Jack_Nicholson_plays_Terminator_Pikachu_scene_where_his_inner_exoskeleton_is_visible_and_his_eye_glows_red_still_from_the_film_-W_768_-n_9_-i_-S_2970031809_ts-1660088973_idx-5.png"", ""timestamp"": 1660088973, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
"portrait of a mix of beautiful young maria shriver, mariel hemmingway, brooke shields and elle macpherson as supergirl, thin lips, hair tied up in a pony tail, colorful artstation, cgsociety","{""image_uri"": ""PENDING"", ""modifiers"": [""portrait"", ""mix"", ""beautiful young maria shriver"", ""mariel hemmingway"", ""brooke shields"", ""elle macpherson"", ""supergirl"", ""thin lips"", ""hair tied"", ""pony tail"", ""colorful artstation"", ""cgsociety""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3930931884, ""width"": 512, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 20.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627987435192381/1007978569827373106/portrait_of_a_mix_of_beautiful_young_maria_shriver_mariel_hemmingway_brooke_shields_and_elle_macpherson_as_supergirl_thin_lips_h_-H_768_-C_20.0_-n_9_-i_-s_150_-S_3930931884_ts-1660391217_idx-3.png"", ""timestamp"": 1660391217, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
Bamberg painted by Monet,"{""image_uri"": ""PENDING"", ""modifiers"": [""bamberg painted"", ""monet""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 3029588752, ""width"": 1024, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627746363396236/1006821585463820390/Bamberg_painted_by_Monet_-W_1024_-n_8_-i_-S_3029588752_ts-1660115370_idx-6.png"", ""timestamp"": 1660115370, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 8}}"
"a detailed fifty mm portrait of billy boyd as a hobbit in a black adidas track suit with white stripes, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by met mangindaan, artgerm and greg rutkowski, alphonse mucha, cgsociety","{""image_uri"": ""PENDING"", ""modifiers"": [""detailed"", ""mm portrait"", ""billy boyd"", ""hobbit"", ""black adidas track suit"", ""white stripes"", ""headshot"", ""highly detailed"", ""digital painting"", ""artstation"", ""concept art"", ""sharp focus"", ""cinematic lighting"", ""illustration"", ""art"", ""met mangindaan"", ""artgerm"", ""greg rutkowski"", ""alphonse mucha"", ""cgsociety""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 1547795044, ""width"": 640, ""height"": 768, ""content"": """", ""is_grid"": 0, ""num_step"": 150, ""cfg_scale"": 18.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005627909702164560/1007940018880401418/a_detailed_fifty_mm_portrait_of_billy_boyd_as_a_hobbit_in_a_black_adidas_track_suit_with_white_stripes_headshot_highly_deta_-H_768_-W_640_-C_18.0_-n_5_-i_-s_150_-S_1547795044_ts-1660382026_idx-0.png"", ""timestamp"": 1660382026, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 5}}"
portrait painting of hector barbossa,"{""image_uri"": ""PENDING"", ""modifiers"": [""portrait painting"", ""hector barbossa""], ""thumbnail_uri"": ""PENDING"", ""raw_discord_data"": {""seed"": 4060608390, ""width"": 512, ""height"": 512, ""content"": """", ""is_grid"": 0, ""num_step"": 50, ""cfg_scale"": 7.0, ""image_uri"": ""https://cdn.discordapp.com/attachments/1005625691146047548/1007694135760781332/portrait_painting_of_hector_barbossa_-n_9_-i_-S_4060608390_ts-1660323403_idx-3.png"", ""timestamp"": 1660323403, ""content_type"": ""image/png"", ""image_proxy_uri"": """", ""num_generations"": 9}}"
